book_code,chapter,verse,word
1-ne,3,8,accomplish
1-ne,3,8,commandeth
1-ne,3,9,father
1-ne,3,9,heard
1-ne,3,9,words
1-ne,3,9,exceedingly
1-ne,3,9,glad
1-ne,3,9,blessed
1-ne,3,9,lord
1-ne,3,10,nephi
1-ne,3,10,brethren
1-ne,3,10,journey
1-ne,3,10,wilderness
1-ne,3,10,tents
1-ne,3,10,land
1-ne,3,10,jerusalem
1-ne,3,11,land
1-ne,3,11,jerusalem
1-ne,3,11,brethren
1-ne,3,11,consult
1-ne,3,12,acast
1-ne,3,12,lots
1-ne,3,12,house
1-ne,3,12,laban
1-ne,3,12,lot
1-ne,3,12,fell
1-ne,3,12,laman
1-ne,3,12,laman
1-ne,3,12,house
1-ne,3,12,laban
1-ne,3,12,talked
1-ne,3,12,sat
1-ne,3,12,house
1-ne,3,13,desired
1-ne,3,13,laban
1-ne,3,13,records
1-ne,3,13,engraven
1-ne,3,13,plates
1-ne,3,13,brass
1-ne,3,13,contained
1-ne,3,13,agenealogy
1-ne,3,13,father
1-ne,3,14,laban
1-ne,3,14,angry
1-ne,3,14,thrust
1-ne,3,14,presence
1-ne,3,14,records
1-ne,3,14,art
1-ne,3,14,robber
1-ne,3,14,slay
1-ne,3,14,thee
1-ne,3,15,laman
1-ne,3,15,fled
1-ne,3,15,presence
1-ne,3,15,told
1-ne,3,15,laban
1-ne,3,15,exceedingly
1-ne,3,15,sorrowful
1-ne,3,15,brethren
1-ne,3,15,return
1-ne,3,15,father
1-ne,3,15,wilderness
1-ne,3,16,aas
1-ne,3,16,lord
1-ne,3,16,liveth
1-ne,3,16,live
1-ne,3,16,father
1-ne,3,16,wilderness
1-ne,3,16,baccomplished
